"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42670.6418819444,50706,1.3,2,221,1.227778E-03,517
42670.6418969907,50719,.8,2,222,1.033333E-03,370
42670.64190625,50727,1.1,2,223,.00115,659
42670.6419189815,50738,1.1,2,224,.00115,514
42670.641931713,50749,1.1,2,225,.00115,379
42670.6419444444,50760,1,2,226,1.111111E-03,310
42670.6419560185,50770,1.1,2,227,.00115,299
42670.64196875,50781,1.2,2,228,1.188889E-03,458
42670.6419826389,50793,1.3,2,229,1.227778E-03,494
42670.6419976852,50806,.8,2,230,1.033333E-03,290
42670.6420069444,50814,1,2,231,1.111111E-03,381
42670.6420185185,50824,1.1,2,232,.00115,565
42670.64203125,50835,1.1,2,233,.00115,596
42670.6420439815,50846,1.1,2,234,.00115,492
42670.642056713,50857,1.1,2,235,.00115,524
42670.6420694444,50868,1.1,2,236,.00115,439
42670.6420821759,50879,1.1,2,237,.00115,321
42670.6420949074,50890,1.2,2,238,1.188889E-03,357
42670.6421087963,50902,1.1,2,239,.00115,599
42670.6421215278,50913,1.1,2,240,.00115,613
42670.6421342593,50924,1.2,2,241,1.188889E-03,264
42670.6421481481,50936,1.2,2,242,1.188889E-03,624
42670.642162037,50948,1.1,2,243,.00115,450
42670.6421747685,50959,1,2,244,1.111111E-03,567
42670.6421863426,50969,1.2,2,245,1.188889E-03,561
42670.6422002315,50981,1.2,2,246,1.188889E-03,608
42670.6422141204,50993,1.1,2,247,.00115,429
42670.6422268519,51004,1.2,2,248,1.188889E-03,377
42670.6422407407,51016,1.1,2,249,.00115,482
42670.6422534722,51027,1.2,2,250,1.188889E-03,311
42670.6422673611,51039,1.2,2,251,1.188889E-03,420
42670.64228125,51051,1.2,2,252,1.188889E-03,707
42670.6422951389,51063,3.8,2,253,.0022,322
42670.6423391204,51101,1.2,2,254,1.188889E-03,224
42670.6423530093,51113,7.4,1,254,2.877778E-03,738
42670.6424386574,51187,1.1,2,255,.00115,550
42670.6424513889,51198,1.1,2,256,.00115,308
42670.6424641204,51209,1.1,2,257,.00115,398
