"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42444.9850844907,347223,1,2,241,1.111111E-03,365
42444.9850960648,347233,1.1,2,242,.00115,463
42444.9851087963,347244,1.1,2,243,.00115,410
42444.9851215278,347255,1.2,2,244,1.188889E-03,551
42444.9851354167,347267,1.1,2,245,.00115,354
42444.9851481482,347278,1.2,2,246,1.188889E-03,380
42444.985162037,347290,.9,2,247,1.072222E-03,254
42444.9851724537,347299,1.1,2,248,.00115,407
42444.9851851852,347310,1,2,249,1.111111E-03,404
42444.9851967593,347320,1.1,2,250,.00115,451
42444.9852094907,347331,1.2,2,251,1.188889E-03,485
42444.9852233796,347343,1.2,2,252,1.188889E-03,357
42444.9852372685,347355,1.1,2,253,.00115,306
42444.98525,347366,1.3,2,254,1.227778E-03,603
42444.9852650463,347379,1.1,2,255,.00115,255
42444.9852777778,347390,1.1,2,256,.00115,305
42444.9852905093,347401,1.1,2,257,.00115,518
42444.9853032407,347412,1.1,2,258,.00115,419
42444.9853159722,347423,1.2,2,259,1.188889E-03,391
42444.9853298611,347435,1.2,2,260,1.188889E-03,329
42444.98534375,347447,1.1,2,261,.00115,280
42444.9853564815,347458,1.3,2,262,1.227778E-03,369
42444.9853715278,347471,1.2,2,263,1.188889E-03,307
42444.9853854167,347483,1.5,2,264,1.305556E-03,449
42444.9854027778,347498,1.2,2,265,1.188889E-03,283
42444.9854166667,347510,.9,2,266,1.072222E-03,198
42444.9854270833,347519,1.2,2,267,1.188889E-03,579
42444.9854409722,347531,1.2,2,268,1.188889E-03,532
42444.9854548611,347543,1.2,2,269,1.188889E-03,472
42444.98546875,347555,1.1,2,270,.00115,381
42444.9854814815,347566,1.1,2,271,.00115,350
42444.985494213,347577,1.1,2,272,.00115,327
42444.9855069444,347588,1.1,2,273,.00115,360
42444.9855196759,347599,1.1,2,274,.00115,334
42444.9855324074,347610,1.1,2,275,.00115,376
42444.9855451389,347621,1.3,2,276,1.227778E-03,439
42444.9855601852,347634,.9,2,277,1.072222E-03,338
42444.9855706019,347643,1.1,2,278,.00115,307
42444.9855833333,347654,1.2,2,279,1.188889E-03,530
42444.9855972222,347666,1.1,2,280,.00115,481
42444.9856099537,347677,1,2,281,1.111111E-03,289
42444.9856215278,347687,1.5,2,282,1.305556E-03,467
42444.9856388889,347702,.9,2,283,1.072222E-03,166
42444.9856493056,347711,1.2,2,284,1.188889E-03,402
42444.9856631944,347723,1.2,2,285,1.188889E-03,389
42444.9856770833,347735,1.2,2,286,1.188889E-03,339
42444.9856909722,347747,1.1,2,287,.00115,383
42444.9857037037,347758,1.2,2,288,1.188889E-03,562
42444.9857175926,347770,1.2,2,289,1.188889E-03,313
42444.9857314815,347782,1.3,2,290,1.227778E-03,431
42444.9857465278,347795,1.1,2,291,.00115,284
42444.9857592593,347806,1.2,2,292,1.188889E-03,230
42444.9857731482,347818,1.3,2,293,1.227778E-03,404
42444.9857881944,347831,1.2,2,294,1.188889E-03,147
42444.9858020833,347843,2.9,2,295,.00185,307
42444.9858356481,347872,207.1,1,295,8.053889E-02,2361
42444.9882326389,349943,5.9,2,296,3.016667E-03,514
42444.9883009259,350002,1.1,2,297,.00115,346
42444.9883136574,350013,1.2,2,298,1.188889E-03,391
42444.9883275463,350025,1.3,2,299,1.227778E-03,294
42444.9883425926,350038,1,2,300,1.111111E-03,216
42444.9883541667,350048,1.1,2,301,.00115,391
42444.9883668981,350059,1.1,2,302,.00115,380
42444.9883796296,350070,1.1,2,303,.00115,440
42444.9883923611,350081,2.1,2,304,1.538889E-03,258
42444.9884166667,350102,1.8,2,305,1.422222E-03,399
42444.9884375,350120,5.1,2,306,2.705555E-03,748
42444.9884965278,350171,6.8,1,306,2.644445E-03,748
42444.9885752315,350239,2.7,2,307,1.772222E-03,247
42444.9886064815,350266,1.8,2,308,1.422222E-03,392
42444.9886273148,350284,2.2,2,309,1.577778E-03,606
42444.9886527778,350306,4.3,2,310,2.394445E-03,564
42444.9887025463,350349,49.4,1,310,1.921111E-02,1744
42444.9892743056,350843,1.6,2,311,1.344444E-03,206
42444.9892928241,350859,6.5,1,311,2.527778E-03,344
42444.9893680556,350924,3.7,2,312,2.161111E-03,366
42444.9894108796,350961,1,2,313,1.111111E-03,232
42444.9894224537,350971,1.4,2,314,1.266667E-03,92
42444.9894386574,350985,.9,2,315,1.072222E-03,212
42444.9894490741,350994,12.4,1,315,4.822222E-03,540
42444.9895925926,351118,3.5,2,316,2.083333E-03,768
42444.9896331019,351153,3.8,2,317,.0022,434
42444.9896770833,351191,1.1,2,318,.00115,205
42444.9896898148,351202,4.3,2,319,2.394445E-03,573
42444.9897395833,351245,.8,2,320,1.033333E-03,303
42444.9897488426,351253,1.4,2,321,1.266667E-03,118
42444.9897650463,351267,5.1,2,322,2.705555E-03,428
42444.9898240741,351318,1,2,323,1.111111E-03,237
42444.9898356482,351328,5.7,2,324,2.938889E-03,577
42444.9899016204,351385,2.1,2,325,1.538889E-03,650
